Course Code,Title,Subject,Course Number,Credits,School,Campus Locations,Prerequisites,Core Requirements,Section #,Instructors,Status,Comments,Time,Weekdays,Meeting Times
01:013:221,INTRO LIT OF MIDEAST,"013 - African, Middle Eastern, and South Asian Languages and Literatures",221,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,KOERBER,OPEN,Go to http://canvas.rutgers.edu,1930-2050,Monday,M: 1930-2050 at SC 204 (LEC); W: 1930-2050 at SC 204 (LEC)
01:013:225,GLOBAL ARABIC,"013 - African, Middle Eastern, and South Asian Languages and Literatures",225,3 (3.0 credits),School of Arts and Sciences,O,,"AHq: Nature of Languages, CCD: Diversities and Social Inequalities",90,"MAZRUI, ALAMIN",CLOSED,Go to http://canvas.rutgers.edu,-,N/A,: - at   (ONLINE INSTRUCTION(INTERNET))
01:013:240,INTERMED ARABIC I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",240,4 (4.0 credits),School of Arts and Sciences,College Avenue; O,(01:013:141 ELEMENTARY ARABIC II )<em> OR </em>(01:013:145 ACCELERATED ARABIC )<em> OR </em>(01:074:141 ELEMENTARY ARABIC II )<em> OR </em>(01:074:145 ACCELERATED ARABIC 1 ),None,01,"KASHOU, HANAN",OPEN,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online",1400-1520,Monday,M: 1400-1520 at ABE 2250 (LEC); W: 1400-1520 at ABE 2250 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:252,INTERMED MOD HEBREW,"013 - African, Middle Eastern, and South Asian Languages and Literatures",252,4 (4.0 credits),School of Arts and Sciences,College Avenue,(01:013:156 HEBREW REVIEW&CONTIN ),AHq: Nature of Languages,01,"GOLDMAN, ORNA",OPEN,Go to http://canvas.rutgers.edu,1020-1140,Monday,M: 1020-1140 at MH 116 (LEC); W: 1020-1140 at MH 116 (LEC); H: 1020-1140 at MH 116 (LEC)
01:013:260,INTERMEDIATE HINDI I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",260,4 (4.0 credits),School of Arts and Sciences,College Avenue,(01:013:161 ELEMENTARY HINDI II )<em> OR </em>(01:505:161 ELEMENTARY HINDI II )<em> OR </em>(01:505:102 ELEMENTARY HINDI ),None,01,PARVEEN,OPEN,Go to http://canvas.rutgers.edu,1210-1330,Monday,M: 1210-1330 at HC E128 (LEC); H: 1210-1330 at HC E128 (LEC)
01:013:276,INTERMED PERSIAN I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",276,4 (4.0 credits),School of Arts and Sciences,Downtown New Brunswick; O,(01:013:177 ELEMENTARY PERSIAN II )<em> OR </em>(01:723:177 ELEMENTARY PERSIAN II ),None,01,"PAYDAR, FERI",OPEN,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online",1210-1330,Monday,M: 1210-1330 at SPR 403 (LEC); H: 1210-1330 at SPR 403 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:289,LADINO CULTURE,"013 - African, Middle Eastern, and South Asian Languages and Literatures",289,3 (3.0 credits),School of Arts and Sciences,O,,AHq: Nature of Languages,90,"KHAYYAT, EMRAH",CLOSED,Go to http://canvas.rutgers.edu,-,N/A,: - at   (ONLINE INSTRUCTION(INTERNET))
01:013:290,INTERMED TURKISH I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",290,4 (4.0 credits),School of Arts and Sciences,Downtown New Brunswick; O,(01:013:191 ELEMENTARY TURKISH II )<em> OR </em>(01:973:191 ELEMENTARY TURKISH II ),None,01,"OZTOPRAK, DILEK",OPEN,"Hybrid Section - Some Meetings Online, Go to http://canvas.rutgers.edu",1210-1330,Monday,M: 1210-1330 at SPR 402 (LEC); H: 1210-1330 at SPR 402 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:308,M. EAST IDENTITIES,"013 - African, Middle Eastern, and South Asian Languages and Literatures",308,3 (3.0 credits),School of Arts and Sciences,College Avenue; O,,"CCD: Diversities and Social Inequalities, HST: Historical Analysis",01,"HABERL, CHARLES",CLOSED,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online",1550-1710,Thursday,H: 1550-1710 at SC 204 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:311,WOMEN WRITERS AFRICA,"013 - African, Middle Eastern, and South Asian Languages and Literatures",311,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHp: Arts and Literatures, CCD: Diversities and Social Inequalities",01,ALIDOU,OPEN,Go to http://canvas.rutgers.edu,1550-1710,Monday,M: 1550-1710 at FH B4 (LEC); W: 1550-1710 at FH B4 (LEC)
01:013:312,AFRICN FOLKLORE&MYTH,"013 - African, Middle Eastern, and South Asian Languages and Literatures",312,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,ALIDOU,CLOSED,Go to http://canvas.rutgers.edu,1400-1520,Monday,M: 1400-1520 at HH B2 (LEC); W: 1400-1520 at HH B2 (LEC)
01:013:321,INDEPENDENT STUDY,"013 - African, Middle Eastern, and South Asian Languages and Literatures",321,None (Credits by arrangement),School of Arts and Sciences,N/A,,None,01,NERLEKAR,OPEN,,-,N/A,: - at   (PROJ-IND)
01:013:331,MOD LIT SOUTH ASIA,"013 - African, Middle Eastern, and South Asian Languages and Literatures",331,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,NERLEKAR,OPEN,Go to http://canvas.rutgers.edu,1400-1520,Monday,M: 1400-1520 at HH A5 (LEC); W: 1400-1520 at HH A5 (LEC)
01:013:340,ADVANCED ARABIC I,"013 - African, Middle Eastern, and South Asian Languages and Literatures",340,3 (3.0 credits),School of Arts and Sciences,College Avenue; O,(01:013:241 INTERMEDIATE ARABIC II )<em> OR </em>(01:074:241 INTERMEDIATE ARABIC II ),None,01,"KASHOU, HANAN",OPEN,"Go to http://canvas.rutgers.edu, Hybrid Section - Some Meetings Online",1550-1710,Tuesday,T: 1550-1710 at HC S126 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:013:352,ADV MODERN HEBREW,"013 - African, Middle Eastern, and South Asian Languages and Literatures",352,3 (3.0 credits),School of Arts and Sciences,College Avenue,(01:013:252 INTERMED MOD HEBREW ),None,01,"GOLDMAN, ORNA",OPEN,Go to http://canvas.rutgers.edu,1210-1330,Monday,M: 1210-1330 at MH 116 (LEC); H: 1210-1330 at MH 116 (LEC)
01:013:376,ADVANCED PERSIAN,"013 - African, Middle Eastern, and South Asian Languages and Literatures",376,3 (3.0 credits),School of Arts and Sciences,Downtown New Brunswick,(01:013:277 INTERMEDIATE PERSIAN II )<em> OR </em>(01:723:277 INTERMEDIATE PERSIAN II ),None,01,"PAYDAR, FERI",OPEN,Go to http://canvas.rutgers.edu,1300-1600,Friday,F: 1300-1600 at SPR 403 (LEC)
01:013:390,ADVANCED TURKISH,"013 - African, Middle Eastern, and South Asian Languages and Literatures",390,3 (3.0 credits),School of Arts and Sciences,Downtown New Brunswick,(01:013:291 INTERMEDIATE TURKISH II )<em> OR </em>(01:973:291 INTERMEDIATE TURKISH II ),None,01,"OZTOPRAK, DILEK",OPEN,Go to http://canvas.rutgers.edu,1400-1520,Monday,M: 1400-1520 at SPR 402 (LEC); W: 1400-1520 at SPR 402 (LEC)
01:014:103,INTRO AFRICANA STUDY,014 - Africana Studies,103,3 (3.0 credits),School of Arts and Sciences,Livingston; Cook/Douglass,,CCD: Diversities and Social Inequalities,01,JACKSON-BREWER,CLOSED,Go to http://canvas.rutgers.edu,1210-1330,Monday,M: 1210-1330 at BE 221 (LEC); H: 1210-1330 at BE 221 (LEC)
01:014:103,INTRO AFRICANA STUDY,014 - Africana Studies,103,3 (3.0 credits),School of Arts and Sciences,Livingston; Cook/Douglass,,CCD: Diversities and Social Inequalities,02,RAMACHANDRAN,CLOSED,,1550-1710,Monday,M: 1550-1710 at BE 251 (LEC); W: 1550-1710 at BE 251 (LEC)
01:014:103,INTRO AFRICANA STUDY,014 - Africana Studies,103,3 (3.0 credits),School of Arts and Sciences,Livingston; Cook/Douglass,,CCD: Diversities and Social Inequalities,03,RAMSAMY,CLOSED,,1400-1520,Monday,M: 1400-1520 at TIL 103C (LEC); W: 1400-1520 at TIL 103C (LEC)
01:014:103,INTRO AFRICANA STUDY,014 - Africana Studies,103,3 (3.0 credits),School of Arts and Sciences,Livingston; Cook/Douglass,,CCD: Diversities and Social Inequalities,04,BONADIE,OPEN,,1930-2050,Monday,M: 1930-2050 at RAB 110B (LEC); W: 1930-2050 at RAB 110B (LEC)
01:014:132,BLK EXPER&FILM MEDIM,014 - Africana Studies,132,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,RAMACHANDRAN,OPEN,,1740-2040,Tuesday,T: 1740-2040 at TIL 251 (LEC)
01:014:140,INTRO AMER CULTURES,014 - Africana Studies,140,1.5 (1.5 credits),School of Arts and Sciences,Livingston,,None,MA,RAMACHANDRAN,CLOSED,Second 7 weeks,1740-2040,Monday,M: 1740-2040 at TIL 226 (LEC)
01:014:202,EVERYONE KNOW RACE,014 - Africana Studies,202,3 (3.0 credits),School of Arts and Sciences,O,,None,90,"JOHNSON, WALTON",CLOSED,Go to http://canvas.rutgers.edu,-,N/A,: - at   (ONLINE INSTRUCTION(INTERNET))
01:014:203,BLACK EXPERIENCE AM,014 - Africana Studies,203,3 (3.0 credits),School of Arts and Sciences,Livingston,,CCD: Diversities and Social Inequalities,01,WESTBROOK,OPEN,,1930-2050,Tuesday,T: 1930-2050 at BE 100 (LEC); H: 1930-2050 at BE 100 (LEC)
01:014:210,AFRICA FUTURE?,014 - Africana Studies,210,3 (3.0 credits),School of Arts and Sciences,O,,None,90,"GRIER, APRIL",CLOSED,Go to http://canvas.rutgers.edu,-,N/A,: - at   (ONLINE INSTRUCTION(INTERNET))
01:014:214,FEELING RACE,014 - Africana Studies,214,3 (3.0 credits),School of Arts and Sciences,Livingston,,CCD: Diversities and Social Inequalities,01,"ROSADO, SHANTEE",OPEN,,1550-1710,Tuesday,T: 1550-1710 at TIL 103C (LEC); H: 1550-1710 at TIL 103C (LEC)
01:014:223,INDEPENDENT STUDY,014 - Africana Studies,223,None (Credits by arrangement),School of Arts and Sciences,College Avenue,,None,01,"DAVID, ESTHER",OPEN,,-,N/A,: - at   (PROJ-IND)
01:014:233,INTRO AFRICANA RESE,014 - Africana Studies,233,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,RAMSAMY,OPEN,Go to http://canvas.rutgers.edu,1550-1850,Monday,M: 1550-1850 at BE 003 (LEC)
01:014:264,BLACK LIVES MATTER,014 - Africana Studies,264,3 (3.0 credits),School of Arts and Sciences,College Avenue,,CCD: Diversities and Social Inequalities,01,"BURROWES, GILL, TIFFANY",CLOSED,Go to http://canvas.rutgers.edu,1400-1520,Tuesday,T: 1400-1520 at MU 208 (LEC); H: 1400-1520 at MU 208 (LEC)
01:014:286,MNTRG PUBLC SERV I,014 - Africana Studies,286,3 (3.0 credits),School of Arts and Sciences,Livingston; O,,CE: Non-Core: Community Engagement,01,"DAVID, ESTHER",OPEN,,1210-1330,Monday,M: 1210-1330 at LSH B269 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:014:305,RACE & EMPIRE,014 - Africana Studies,305,3 (3.0 credits),School of Arts and Sciences,Livingston,,CCD: Diversities and Social Inequalities,01,"ERAKAT, NOURA",OPEN,,1210-1510,Monday,M: 1210-1510 at LSH B112 (LEC)
01:014:306,BLK WOM IN POL CTEX,014 - Africana Studies,306,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,"TATE, GAYLE",OPEN,,1400-1520,Tuesday,T: 1400-1520 at BE 219 (LEC); H: 1400-1520 at BE 219 (LEC)
01:014:307,HEALTHCARE EXPERIENC,014 - Africana Studies,307,3 (3.0 credits),School of Arts and Sciences,N/A,(01:014:347 HEALTH ISSUES IN THE AFRICAN AMERICAN COMMUNITY ),CE: Non-Core: Community Engagement,01,"KHAN, KAMAL",CLOSED,,-,N/A,: - at   (INTERNSP)
01:014:341,SUPV COMMNTY PLACMNT,014 - Africana Studies,341,3 (3.0 credits),School of Arts and Sciences,Livingston,,CE: Non-Core: Community Engagement,01,"DAVID, ESTHER",OPEN,,-,N/A,: - at   (LEC)
01:014:347,HLTH ISS AFR-AM COM,014 - Africana Studies,347,3 (3.0 credits),School of Arts and Sciences,Livingston,,CE: Non-Core: Community Engagement,01,"KHAN, KAMAL",CLOSED,,1550-1850,Monday,M: 1550-1850 at BE 111 (LEC)
01:014:362,"BLACK IDENT,REL& POL",014 - Africana Studies,362,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,"TATE, GAYLE",OPEN,,1550-1710,Tuesday,T: 1550-1710 at BE 101 (LEC); H: 1550-1710 at BE 101 (LEC)
01:014:380,BLACKS IN SCIENCE,014 - Africana Studies,380,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,"HOVE, EMMANUEL",OPEN,,1930-2230,Tuesday,T: 1930-2230 at LSH B112 (LEC)
01:014:385,MNTRG PUBLC SERV II,014 - Africana Studies,385,3 (3.0 credits),School of Arts and Sciences,Livingston; O,,CE: Non-Core: Community Engagement,01,"DAVID, ESTHER",OPEN,,1400-1520,Monday,M: 1400-1520 at BE 221 (LEC); : - at   (ONLINE INSTRUCTION(INTERNET))
01:014:386,AFRCAN AMRICN SPORTS,014 - Africana Studies,386,3 (3.0 credits),School of Arts and Sciences,Livingston,,None,01,"PLUMMER, JOEL",OPEN,,1740-1900,Tuesday,T: 1740-1900 at TIL 252 (LEC); H: 1740-1900 at TIL 252 (LEC)
01:014:490,SEM AFRICAN STUDIES,014 - Africana Studies,490,3 (3.0 credits),School of Arts and Sciences,Livingston,,"WCd: Writing and Communication in a Discipline, WCr: Writing and Communication, Revision",01,"BRITTON, AKISSI",OPEN,,1550-1710,Tuesday,T: 1550-1710 at BE 111 (LEC); H: 1550-1710 at BE 111 (LEC)
01:014:490,SEM AFRICAN STUDIES,014 - Africana Studies,490,3 (3.0 credits),School of Arts and Sciences,Livingston,,"WCd: Writing and Communication in a Discipline, WCr: Writing and Communication, Revision",02,"ROANE, J.T.",OPEN,,1400-1520,Monday,M: 1400-1520 at BE 213 (LEC); W: 1400-1520 at BE 213 (LEC)
01:014:491,INDEPENDENT STUDY,014 - Africana Studies,491,None (Credits by arrangement),School of Arts and Sciences,N/A,,None,01,COOPER,OPEN,Go to http://canvas.rutgers.edu,-,N/A,: - at   (PROJ-IND)
01:014:497,AFR STDY SCHOL PROJ,014 - Africana Studies,497,6 (6.0 credits),School of Arts and Sciences,Livingston,,None,01,,OPEN,Go to http://canvas.rutgers.edu,-,N/A,: - at   (LEC)
01:016:220,ANCIENT AFRICA,016 - African Studies,220,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"HST: Historical Analysis, SCL: Social Analysis",01,"COOPER, BARBARA",CLOSED,Go to http://canvas.rutgers.edu,1020-1140,Monday,M: 1020-1140 at FH A3 (LEC); H: 1020-1140 at FH A3 (LEC)
01:016:301,IND STY AFRICAN AREA,016 - African Studies,301,None (Credits by arrangement),School of Arts and Sciences,College Avenue,,None,01,,OPEN,,-,N/A,: - at   (PROJ-IND)
01:016:303,DIRECT INTRN AFR STY,016 - African Studies,303,None (Credits by arrangement),School of Arts and Sciences,College Avenue,,CE: Non-Core: Community Engagement,01,,OPEN,,-,N/A,: - at   (INTERNSP)
01:016:363,WOMEN WRITERS AFRICA,016 - African Studies,363,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHp: Arts and Literatures, CCD: Diversities and Social Inequalities",01,ALIDOU,OPEN,Go to http://canvas.rutgers.edu,1550-1710,Monday,M: 1550-1710 at FH B4 (LEC); W: 1550-1710 at FH B4 (LEC)
01:050:101,INTRO AMER STUDIES,050 - American Studies,101,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,"URBAN, ANDREW",OPEN,First-year students welcome,1550-1710,Tuesday,T: 1550-1710 at RAB 001 (LEC); H: 1550-1710 at RAB 001 (LEC)
01:050:102,RACE & ETHNIC IN AME,050 - American Studies,102,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,CCD: Diversities and Social Inequalities,01,"SWEET, JAMESON",OPEN,First-year students welcome,1400-1520,Tuesday,T: 1400-1520 at HSB 106 (LEC); H: 1400-1520 at HSB 106 (LEC)
01:050:228,THE CNTMPRY AMERICAN,050 - American Studies,228,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,"AHp: Arts and Literatures, SCL: Social Analysis",01,GILLESPIE,OPEN,,1210-1330,Monday,M: 1210-1330 at RAB 110B (LEC); H: 1210-1330 at RAB 110B (LEC)
01:050:240,LATINO LIT & CULTURE,050 - American Studies,240,3 (3.0 credits),School of Arts and Sciences,Livingston,,"AHo: Philosophical and Theoretical Issues, WCr: Writing and Communication, Revision",01,"ZAMORA, OMARIS",CLOSED,"Go to http://canvas.rutgers.edu, First-year students welcome",1930-2050,Tuesday,T: 1930-2050 at TIL 252 (LEC); H: 1930-2050 at TIL 252 (LEC)
01:050:245,ASIAN AMER EXPERIENC,050 - American Studies,245,3 (3.0 credits),School of Arts and Sciences,Livingston,,CCD: Diversities and Social Inequalities,01,RAMSAMY,CLOSED,First-year students welcome,1930-2050,Monday,M: 1930-2050 at LSH A140 (LEC); W: 1930-2050 at LSH A140 (LEC)
01:050:246,BLACK EXPER IN AMER,050 - American Studies,246,3 (3.0 credits),School of Arts and Sciences,Livingston,,CCD: Diversities and Social Inequalities,01,WESTBROOK,CLOSED,First-year students welcome,1930-2050,Tuesday,T: 1930-2050 at BE 100 (LEC); H: 1930-2050 at BE 100 (LEC)
01:050:248,NATIVE AMERICAN EXP,050 - American Studies,248,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, CCD: Diversities and Social Inequalities",01,"SWEET, JAMESON",CLOSED,,0830-0950,Monday,M: 0830-0950 at SC 120 (LEC); H: 0830-0950 at SC 120 (LEC)
01:050:259,POPULAR CULTURE,050 - American Studies,259,3 (3.0 credits),School of Arts and Sciences,College Avenue,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,"MOOMJY, THOMAS",CLOSED,First-year students welcome,1020-1320,Wednesday,W: 1020-1320 at FH B5 (LEC)
01:050:263,AMERICAN FOLKLORE,050 - American Studies,263,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,"AHo: Philosophical and Theoretical Issues, AHp: Arts and Literatures",01,"KENNEDY, MARIA",OPEN,First-year students welcome,1210-1330,Monday,M: 1210-1330 at RAB 104 (LEC); H: 1210-1330 at RAB 104 (LEC)
01:050:264,AMERICAN FOLKLIFE,050 - American Studies,264,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,AHp: Arts and Literatures,01,GILLESPIE,OPEN,First-year students welcome,1020-1140,Monday,M: 1020-1140 at RAB 110B (LEC); H: 1020-1140 at RAB 110B (LEC)
01:050:265,AM EXPER FILM&VIDEO,050 - American Studies,265,3 (3.0 credits),School of Arts and Sciences,Cook/Douglass,,None,01,"NIGRIN, ALBERT",CLOSED,,1740-1900,Tuesday,T: 1740-1900 at RAB 001 (LEC); H: 1740-1900 at RAB 001 (LEC); H: 1930-2050 at RAB 001 (FILM)
01:050:282,TPCS IN AMER STUDIES,050 - American Studies,282,1.5 (1.5 credits),School of Arts and Sciences,Livingston,,None,02,BHATTACHARYA,OPEN,,1400-1520,Friday,F: 1400-1520 at TIL 209 (LEC)
01:050:284,TPCS IN AMER STUDIES,050 - American Studies,284,1.5 (1.5 credits),School of Arts and Sciences,College Avenue,,None,MB,MORALES,CLOSED,"First-year students welcome, Second 7 weeks",1740-2040,Wednesday,W: 1740-2040 at SC 207 (LEC)
01:050:286,INDP STUDY AM CULT,050 - American Studies,286,1.5 (1.5 credits),School of Arts and Sciences,N/A,,None,A1,"ISAAC, ALLAN",OPEN,,-,N/A,: - at   (PROJ-IND)
